iteration,convergenceIndicator,phase,Base_pop,EC50_pop,Emax_pop,gamma_pop,omega_Base,omega_EC50,omega_Emax,omega_gamma,a,b
89,13107.8,1,54.9362,475.984,0.893495,2.37724,0.496073,0.624526,0.166697,0.794157,1.09498,0.200987
90,13150.3,1,55.2429,477.167,0.900274,2.3624,0.501665,0.608712,0.162476,0.820372,1.02608,0.205489
91,13100.5,1,54.7396,492.258,0.90238,2.42123,0.507919,0.593299,0.158362,0.7996,0.98751,0.207632
92,13068.9,1,55.2792,495.33,0.895223,2.30789,0.506337,0.593495,0.154353,0.779354,0.970478,0.207096
93,13021.4,1,55.9508,493.349,0.892886,2.37085,0.499382,0.583592,0.150444,0.75962,1.12687,0.199993
94,13033.3,1,55.4024,492.571,0.883902,2.50034,0.495959,0.587871,0.146635,0.740386,1.16241,0.198115
95,12976.4,1,55.98,488.316,0.883354,2.55365,0.483401,0.572986,0.142922,0.721639,0.999617,0.204228
96,12988.9,1,55.8939,491.353,0.883175,2.59392,0.488863,0.570618,0.139303,0.729267,0.871728,0.208774
97,12875.9,1,54.5359,504.269,0.884642,2.54709,0.489576,0.55617,0.135776,0.710801,0.723922,0.216823
98,12892.5,1,54.6784,498.32,0.881318,2.5629,0.48426,0.568448,0.132338,0.692803,0.919334,0.209858
99,12909,1,54.567,481.962,0.881901,2.74127,0.502059,0.572301,0.128987,0.701316,0.94349,0.206701
100,12840.1,1,54.8111,500.799,0.878079,2.79837,0.489347,0.55781,0.125721,0.683558,0.921617,0.209678
101,12837.4,1,55.0804,488.589,0.875769,2.79593,0.496459,0.557543,0.122538,0.66625,1.05313,0.2022
102,12880.5,1,54.8383,473.527,0.872986,2.68096,0.492527,0.553651,0.119435,0.676621,1.09609,0.202928
103,12871,1,54.4522,491.699,0.870133,2.6494,0.492099,0.550173,0.116411,0.696322,1.22767,0.198669
104,12884.9,1,54.2534,505.806,0.877067,2.69256,0.494759,0.547171,0.113463,0.695522,1.11474,0.20357
105,12780.4,1,54.4961,499.168,0.876507,2.45979,0.497216,0.533316,0.11059,0.694862,0.994441,0.204528
106,12811.4,1,54.8144,506.25,0.878867,2.53353,0.500902,0.519812,0.109921,0.677267,1.09344,0.200446
107,12773.6,1,54.7346,503.96,0.881884,2.45942,0.507709,0.520324,0.107137,0.683028,1.20224,0.195548
108,12756.3,1,55.6303,486.873,0.884336,2.65711,0.508634,0.548621,0.104424,0.674367,0.842586,0.208059
109,12753,1,56.3015,475.053,0.884315,2.65595,0.518773,0.552939,0.10178,0.657291,0.785101,0.211314
